LIDAMSIDOB	group	priv_year
1017337012	restitued	missing
1017116741	restitued	missing
1017072736	restitued	missing
1017078718	restitued	missing
1017342261	restitued	missing
1017365768	restitued	missing
1017141223	restitued	missing
1017376930	restitued	missing
1017028311	restitued	missing
1017443521	restitued	missing
1017066604	restitued	missing
1017368155	restitued	missing
1017344001	restitued	missing
1017069662	restitued	missing
1017436070	restitued	missing
1017065217	restitued	missing
1017443441	restitued	missing
1017345341	restitued	missing
1017073775	restitued	missing
1017435847	restitued	missing
1017389985	restitued	missing
1017444528	restitued	missing
1017383502	restitued	missing
1017429901	restitued	missing
1017434034	restitued	missing
1017425043	restitued	missing
1017046263	restitued	missing
1017064814	restitued	missing
1017028214	restitued	missing
1017067686	privatized	<= 2000
1017146977	restitued	missing
1017028605	restitued	missing
1017032351	restitued	missing
1017445249	restitued	missing
1017142882	restitued	missing
1017066019	restitued	missing
1017031142	restitued	missing
1017067546	restitued	missing
1017143820	privatized	<= 2000
1017064091	restitued	missing
1017354910	restitued	missing
1017368252	restitued	missing
1017400512	restitued	missing
1017150010	restitued	missing
1017065071	restitued	missing
1017063575	restitued	missing
1017420971	restitued	missing
1017435839	restitued	missing
1017420611	restitued	missing
1017065322	restitued	missing
1017066434	restitued	missing
1017386510	restitued	missing
1017064555	restitued	missing
1017420904	restitued	missing
1017069522	restitued	missing
1017076774	restitued	missing
1017036403	restitued	missing
1017140847	restitued	missing
1017138541	restitued	missing
1017073490	restitued	missing
1017075212	restitued	missing
1017417491	restitued	missing
1017137226	restitued	missing
1017345678	restitued	missing
1017347476	restitued	missing
1017065969	restitued	missing
1017182311	restitued	missing
1017391513	restitued	missing
1017067252	restitued	missing
1017345252	restitued	missing
1017076359	restitued	missing
1017141258	restitued	missing
1017134626	privatized	<= 2000
1017427666	restitued	missing
1017036390	restitued	missing
1017146926	privatized	<= 2000
1017376298	restitued	missing
1017036721	restitued	missing
1017067791	restitued	missing
1017429405	restitued	missing
1017341567	restitued	missing
1017060746	privatized	<= 2000
